Date,Time,Load (kW),,,,,,,
,6:00,6436.59696,,,,,,,
,7:00,6978.7476,,,,,,,
,8:00,6643.44972,,,,,,,
,9:00,3907.9116,,,,,,,
,10:00,7154.892,,,,,,,
,11:00,6498.32544,,,,,,,
,12:00,6414.15024,,,,,,,
,13:00,7272.11376,,,,,,,
,14:00,8264.7576,,,,,,,
,15:00,8058.996,,,,,,,
,16:00,7751.60064,,,,,,,
,17:00,7267.1256,,,,,,,
,18:00,6523.11036,,,,,,,
,19:00,5761.79244,,,,,,,
,20:00,5363.8308,,,,,,,
,21:00,5104.2906,,,,,,,
,22:00,4993.14816,,,,,,,
,23:00,5202.65088,,,,,,,
09.09.2019,0:00,5761.3248,,,,,,,
,1:00,5988.28608,,,,,,,
,2:00,6197.7888,,,,,,,
,3:00,6424.75008,,,,,,,
,4:00,6644.22912,,,,,,,
,5:00,6626.4588,,,,,,,
,6:00,6847.34076,,,,,,,
,7:00,6354.60408,,,,,,,
,8:00,6354.60408,,,,,,,
,9:00,6150.71304,,,,,,,
,10:00,5827.88556,,,,,,,
,11:00,5929.83108,,,,,,,
,12:00,6127.95456,,,,,,,
,13:00,6843.75552,,,,,,,
,14:00,8063.04888,,,,,,,
,15:00,8063.04888,,,,,,,
,16:00,8063.04888,,,,,,,
,17:00,6955.67736,,,,,,,
,18:00,6687.252,,,,,,,
,19:00,5709.8844,,,,,,,
,20:00,5554.16028,,,,,,,
,21:00,5450.3442,,,,,,,
,22:00,5294.62008,,,,,,,
,23:00,5208.10668,,,,,,,
10.09.2019,0:00,5260.01472,,,,,,,
,1:00,5420.88288,,,,,,,
,2:00,6094.28448,,,,,,,
,3:00,6683.51088,,,,,,,
,4:00,6717.18096,,,,,,,
,5:00,6750.85104,,,,,,,
,6:00,6835.02624,,,,,,,
,7:00,6919.20144,,,,,,,
,8:00,6700.34592,,,,,,,
,9:00,6447.82032,,,,,,,
,10:00,6422.56776,,,,,,,
,11:00,6456.5496,,,,,,,
,12:00,6354.60408,,,,,,,
,13:00,6473.54052,,,,,,,
,14:00,7051.2318,,,,,,,
,15:00,8546.43276,,,,,,,
,16:00,8393.51448,,,,,,,
,17:00,8291.56896,,,,,,,
,18:00,7170.16824,,,,,,,
,19:00,7526.97756,,,,,,,
,20:00,3381.19308,,,,,,,
,21:00,5415.73884,,,,,,,
